timestamp,actual_price,total_load,naive_last_hour,naive_same_hour_yesterday,naive_same_hour_last_week,split,pred_lightgbm,pred_random_forest
2014-12-31 23:00:00,65.41,25385.0,,,,train,,
2015-01-01 00:00:00,64.92,24382.0,65.41,,,train,,
2015-01-01 01:00:00,64.48,22734.0,64.92,,,train,,
2015-01-01 02:00:00,59.32,21286.0,64.48,,,train,,
2015-01-01 03:00:00,56.04,20264.0,59.32,,,train,,
2015-01-01 04:00:00,53.63,19905.0,56.04,,,train,,
2015-01-01 05:00:00,51.73,20010.0,53.63,,,train,,
2015-01-01 06:00:00,51.43,20377.0,51.73,,,train,,
2015-01-01 07:00:00,48.98,20094.0,51.43,,,train,,
2015-01-01 08:00:00,54.2,20637.0,48.98,,,train,,
2015-01-01 09:00:00,58.94,22250.0,54.2,,,train,,
2015-01-01 10:00:00,59.86,23547.0,58.94,,,train,,
2015-01-01 11:00:00,60.12,24133.0,59.86,,,train,,
2015-01-01 12:00:00,62.05,24713.0,60.12,,,train,,
2015-01-01 13:00:00,62.06,24672.0,62.05,,,train,,
2015-01-01 14:00:00,59.76,23528.0,62.06,,,train,,
2015-01-01 15:00:00,61.18,23118.0,59.76,,,train,,
2015-01-01 16:00:00,64.74,23606.0,61.18,,,train,,
2015-01-01 17:00:00,74.26,26447.0,64.74,,,train,,
2015-01-01 18:00:00,74.24,28020.0,74.26,,,train,,
2015-01-01 19:00:00,75.64,29014.0,74.24,,,train,,
2015-01-01 20:00:00,73.92,29571.0,75.64,,,train,,
2015-01-01 21:00:00,70.53,29031.0,73.92,,,train,,
2015-01-01 22:00:00,64.13,26798.0,70.53,,,train,,
2015-01-01 23:00:00,64.02,27070.0,64.13,65.41,,train,,
2015-01-02 00:00:00,58.46,24935.0,64.02,64.92,,train,,
2015-01-02 01:00:00,54.7,23214.0,58.46,64.48,,train,,
2015-01-02 02:00:00,54.91,22540.0,54.7,59.32,,train,,
2015-01-02 03:00:00,53.07,22096.0,54.91,56.04,,train,,
2015-01-02 04:00:00,54.23,22066.0,53.07,53.63,,train,,
2015-01-02 05:00:00,58.22,22275.0,54.23,51.73,,train,,
2015-01-02 06:00:00,67.55,23025.0,58.22,51.43,,train,,
2015-01-02 07:00:00,70.33,23699.0,67.55,48.98,,train,,
2015-01-02 08:00:00,71.26,25834.0,70.33,54.2,,train,,
2015-01-02 09:00:00,75.86,27927.0,71.26,58.94,,train,,
2015-01-02 10:00:00,73.65,29072.0,75.86,59.86,,train,,
2015-01-02 11:00:00,74.19,29071.0,73.65,60.12,,train,,
2015-01-02 12:00:00,71.51,29439.0,74.19,62.05,,train,,
